Brand,Model,Year,Kms_Driven,Selling_Price
Maruti,Swift,2021,18000,650000
Maruti,Swift,2019,42000,540000
Maruti,Baleno,2020,25000,700000
Maruti,Dzire,2018,50000,480000
Hyundai,Creta,2021,22000,1400000
Hyundai,i20,2020,30000,720000
Hyundai,Venue,2022,15000,1100000
Hyundai,Verna,2019,45000,900000
Honda,City,2020,35000,950000
Honda,Amaze,2019,40000,650000
Honda,Jazz,2018,52000,550000
Tata,Nexon,2022,18000,1200000
Tata,Punch,2023,8000,750000
Tata,Tiago,2021,22000,600000
Mahindra,Thar,2022,12000,1550000
Mahindra,Scorpio,2020,38000,1450000
Mahindra,XUV700,2023,9000,2200000
Toyota,Fortuner,2021,25000,3400000
Toyota,Innova,2019,50000,1800000
Toyota,Glanza,2022,15000,850000
Kia,Seltos,2022,18000,1550000
Kia,Sonet,2021,25000,1050000
MG,Hector,2021,22000,1700000
Skoda,Slavia,2023,8000,1450000
Volkswagen,Virtus,2023,7000,1500000
